ID,dataset,sample_id,date,year,season,basin,lake_region,port,depth_m,depth_g,compartment,sci_name,species,species_group,length_mm,mass_g,d15n,d13c,d13c_norm,cn,trophic
47,csmi_2015,cmu-1-blol-1-10,NA,2015,spring,north,nw,arcadia,110,NA,fishes,Coregonus hoyi,bloater,bloater lg,221,115.92367100900867,11.888666666666667,-26.942333333333334,-24.788509978265164,5.234485815602837,consumer
48,csmi_2015,1-blol-1-12,NA,2015,spring,north,nw,arcadia,110,NA,fishes,Coregonus hoyi,bloater,bloater lg,235,140.15212740702376,11.431995234738467,-25.03967416321136,-24.185425151353652,4.029579067121729,consumer
49,csmi_2015,1-blol-1-11,NA,2015,spring,north,nw,arcadia,110,NA,fishes,Coregonus hoyi,bloater,bloater lg,131.1672645247958,23.124943269501326,11.984873898773806,-26.142759148822712,-24.40354382714179,4.778624016247779,consumer
50,csmi_2015,cmu-1-dws-1-10,NA,2015,spring,north,nw,arcadia,110,NA,fishes,Myoxocephalus thompsonii,deepwater sculpin,deepwater sculpin,51,1.5568273071250935,11.539666666666667,-25.633333333333333,-24.694934418815016,4.090548683793213,consumer
51,csmi_2015,cmu-1-dws-1-11,NA,2015,spring,north,nw,arcadia,110,NA,fishes,Myoxocephalus thompsonii,deepwater sculpin,deepwater sculpin,64,3.1258815715294848,11.324666666666667,-26.155333333333335,-24.695822618370318,4.513450721447786,consumer
52,csmi_2015,1-dws-1-12,NA,2015,spring,north,nw,arcadia,110,NA,fishes,Myoxocephalus thompsonii,deepwater sculpin,deepwater sculpin,74,4.881366086833502,12.540716165044156,-24.987754960156646,-24.138625163553584,4.02592860588519,consumer
53,csmi_2015,1-mus-1-10,NA,2015,spring,north,nw,arcadia,110,NA,dreissenids,Dreissena,dreissena,dreissena,NA,0.035,10.3244741654296,-28.383159556169655,-26.585515290816055,5.305356469699366,consumer
54,csmi_2015,1-mus-1-11,NA,2015,spring,north,nw,arcadia,110,NA,dreissenids,Dreissena,dreissena,dreissena,NA,0.035,8.996153322165771,-21.7153151126388,-20.13770971392172,5.841185735767105,consumer
55,csmi_2015,1-mus-1-12,NA,2015,spring,north,nw,arcadia,110,NA,dreissenids,Dreissena,dreissena,dreissena,NA,0.035,11.110139446939616,-26.86933284879708,-25.121644864786774,4.275503732762905,consumer
56,csmi_2015,5023,NA,2015,spring,north,nw,arcadia,110,NA,dreissenids,Dreissena,dreissena,dreissena,NA,0.035,8.827048299606519,-25.494167918452362,-23.791860377143433,3.9777325494197586,consumer
57,csmi_2015,5023,NA,2015,spring,north,nw,arcadia,110,NA,dreissenids,Dreissena,dreissena,dreissena,NA,0.035,8.460151977917993,-26.298578241997376,-24.569725160011462,3.8974262327078013,consumer
58,csmi_2015,5023,NA,2015,spring,north,nw,arcadia,110,NA,dreissenids,Dreissena,dreissena,dreissena,NA,0.035,8.241715912965967,-26.078022227793227,-24.35644749427605,3.3821447158760294,consumer
59,csmi_2015,1-mys-1-10,NA,2015,spring,north,nw,arcadia,110,NA,zooplankton,Mysis diluviana,mysis,mysis,NA,0.005,9.216076440397762,-25.994510547699374,-25.638698575357246,4.451406967088449,consumer
60,csmi_2015,5016,NA,2015,spring,north,nw,arcadia,110,NA,pom,POM,pom,pom,NA,NA,2.266444989893012,-26.937306236654084,-26.937306236654084,7.615337890177674,b1
61,csmi_2015,5023,NA,2015,spring,north,nw,arcadia,110,NA,pom,POM,pom,pom,NA,NA,2.606346880505214,-27.894157781174183,-27.894157781174183,7.3461566547308825,b1
62,csmi_2015,1-smsl-1-10,NA,2015,spring,north,nw,arcadia,110,NA,fishes,Cottus cognatus,slimy sculpin,slimy sculpin lg,117.61772839969254,20.246569910886375,12.554569921843056,-24.525373694125427,-23.70823083698257,4.00326797385621,consumer
63,csmi_2015,1-smsl-1-11,NA,2015,spring,north,nw,arcadia,110,NA,fishes,Cottus cognatus,slimy sculpin,slimy sculpin lg,94.7127269548537,10.412945771239885,13.321367109131769,-24.985957206264846,-24.168221145743694,4.003685897435897,consumer
64,csmi_2015,1-smsl-1-12,NA,2015,spring,north,nw,arcadia,110,NA,fishes,Cottus cognatus,slimy sculpin,slimy sculpin lg,105.03116521190933,14.303648314223365,11.894580227133321,-24.48479364900301,-23.884793649003008,3.8559322033898304,consumer
65,csmi_2015,153-5020,NA,2015,spring,north,nw,arcadia,110,NA,zooplankton,Zooplankton153,zooplankton153,zooplankton153,NA,1e-6,8.827116702425029,-30.323405110541024,-28.3464833600541,6.120638691418619,consumer
66,csmi_2015,153-5016,NA,2015,spring,north,nw,arcadia,110,NA,zooplankton,Zooplankton153,zooplankton153,zooplankton153,NA,1e-6,8.75629623385703,-30.26058426488134,-28.232115888712723,6.1944993810595985,consumer
67,csmi_2015,1-alg-2-1,NA,2015,summer,north,nw,arcadia,2,ns,benthic algae,benthic algae,benthic algae,benthic algae,NA,NA,3.800745518594116,-22.2952443303904,-22.2952443303904,9.494801756098298,b2
68,csmi_2015,arc15a,NA,2015,summer,north,nw,arcadia,2,ns,benthic inverts,Amphipoda,amphipod,amphipod,NA,0.005,3.182320191766629,-19.50809667405953,-18.003329483815563,4.2903465116648825,consumer
69,csmi_2015,arc19ch,NA,2015,summer,north,nw,arcadia,2,ns,benthic inverts,Chironomidae,chironomids,chironomids,NA,0.002,2.9473619477610233,-19.55087511876654,-18.044696239847244,4.109415181623514,consumer
70,csmi_2015,arc15ha,NA,2015,summer,north,nw,arcadia,2,ns,zooplankton,Hemimysis anomala,hemimysis,hemimysis adult,NA,0.001,7.805402881925319,-22.32250953348171,-23.075873282609802,3.751401592363769,consumer
71,csmi_2015,arc16ha,NA,2015,summer,north,nw,arcadia,2,ns,zooplankton,Hemimysis anomala,hemimysis,hemimysis adult,NA,0.001,6.152923423595594,-21.090829157216188,-21.442747534947326,3.977799861252218,consumer
72,csmi_2015,arc17ha,NA,2015,summer,north,nw,arcadia,2,ns,zooplankton,Hemimysis anomala,hemimysis,hemimysis adult,NA,0.001,5.338248131899408,-21.6941044332058,-21.8880618224342,4.0745570711457875,consumer
73,csmi_2015,arc15hj,NA,2015,summer,north,nw,arcadia,2,ns,zooplankton,Hemimysis anomala,hemimysis,hemiysis juv,NA,0.001,5.983670174051444,-22.270304614918523,-22.919955526352453,3.807385484135127,consumer
74,csmi_2015,arc22-z,NA,2015,summer,north,nw,arcadia,2,ns,zooplankton,Zooplankton63,zooplankton63,zooplankton63,NA,1e-7,4.029903531863416,-24.086948947370658,-23.43862207160693,4.681799427948273,consumer
75,csmi_2015,arc20-z,NA,2015,summer,north,nw,arcadia,2,ns,zooplankton,Zooplankton63,zooplankton63,zooplankton63,NA,1e-7,5.091018315558616,-24.517962639267605,-24.589401093975308,4.152908356267545,consumer
76,csmi_2015,arc23-z,NA,2015,summer,north,nw,arcadia,2,ns,zooplankton,Zooplankton63,zooplankton63,zooplankton63,NA,1e-7,6.1220316714427545,-24.686360569283117,-23.14489340877461,5.560537437170986,consumer
77,csmi_2015,arc22-z,NA,2015,summer,north,nw,arcadia,2,ns,zooplankton,Zooplankton63,zooplankton63,zooplankton63,NA,1e-7,4.909142733781481,-24.144372836910897,-23.389230081754675,4.771989400557685,consumer
78,csmi_2015,arc20-z,NA,2015,summer,north,nw,arcadia,2,ns,zooplankton,Zooplankton63,zooplankton63,zooplankton63,NA,1e-7,3.42460599645785,-24.000701241866246,-23.74263806996844,4.379390376431863,consumer
79,csmi_2015,arc23-z,NA,2015,summer,north,nw,arcadia,2,ns,zooplankton,Zooplankton63,zooplankton63,zooplankton63,NA,1e-7,3.150623588269081,-23.85454267246953,-23.210760829273664,4.678037385840575,consumer
80,csmi_2015,cmu-1-ale-2-15,NA,2015,summer,north,nw,arcadia,5,ns,fishes,Alosa pseudoharengus,alewife,alewife,NA,NA,11.282857142857143,-24.78814285714286,-23.596091347373765,4.286025013594345,consumer
81,csmi_2015,cmu-1-ale-2-14b,NA,2015,summer,north,nw,arcadia,5,ns,fishes,Alosa pseudoharengus,alewife,alewife,NA,NA,10.831857142857142,-25.177142857142858,-24.39958110050974,3.9755780722265524,consumer
82,csmi_2015,cmu-1-ale-2-13,NA,2015,summer,north,nw,arcadia,5,ns,fishes,Alosa pseudoharengus,alewife,alewife,NA,NA,9.8218,-24.686714285714288,-23.929551298396298,3.961456671982988,consumer
83,csmi_2015,cmu-1-ale-2-14a,NA,2015,summer,north,nw,arcadia,5,ns,fishes,Alosa pseudoharengus,alewife,alewife,NA,NA,9.6598,-24.53071428571429,-24.01607220328479,3.800942285041225,consumer
84,csmi_2015,cmu-1-sps-2-15,NA,2015,summer,north,nw,arcadia,5,ns,fishes,Notropis hudsonius,spottail shiner,spottail shiner,48.205618331252644,1.0188157947989653,10.928857142857144,-23.60814285714286,-22.68988595027872,4.075787728026533,consumer
85,csmi_2015,cmu-1-sps-2-13,NA,2015,summer,north,nw,arcadia,5,ns,fishes,Notropis hudsonius,spottail shiner,spottail shiner,36.83276464237528,0.43884728423954805,10.314857142857143,-23.06314285714286,-22.156447258878757,4.067363112391931,consumer
86,csmi_2015,cmu-1-sps-2-14b,NA,2015,summer,north,nw,arcadia,5,ns,fishes,Notropis hudsonius,spottail shiner,spottail shiner,42.56384555352993,0.6900775319690302,10.042857142857143,-21.98314285714286,-21.229982744783307,3.9586973788721207,consumer
87,csmi_2015,1-cra-2-1,NA,2015,summer,north,nw,arcadia,18,ns,benthic inverts,Cambaridae,crayfish,crayfish,NA,4.6,7.087305019549277,-20.705174682787227,-19.160903918255247,3.5677432889990315,consumer
88,csmi_2015,cmu-1-ltr-2-1,NA,2015,summer,north,nw,arcadia,18,ns,fishes,Salvelinus namaycush,lake trout,lake trout,38,0.5029575288392121,10.30275,-22.557875,-21.718260500575376,4.019160885365047,consumer
89,csmi_2015,5426,NA,2015,summer,north,nw,arcadia,18,ns,pom,POM,pom,pom,NA,NA,-1.0636838838769718,-28.939639423625,-28.939639423625,9.780055122051238,b1
90,csmi_2015,5432,NA,2015,summer,north,nw,arcadia,18,ns,pom,POM,pom,pom,NA,NA,3.1375044120987017,-25.032899695547457,-25.032899695547457,6.9364667729612455,b1
91,csmi_2015,153-5426,NA,2015,summer,north,nw,arcadia,18,ns,zooplankton,Zooplankton153,zooplankton153,zooplankton153,NA,1e-6,4.203742675446524,-28.551668446049174,-25.04656314706292,9.46726185798793,consumer
92,csmi_2015,63-5426,NA,2015,summer,north,nw,arcadia,18,ns,zooplankton,Zooplankton63,zooplankton63,zooplankton63,NA,1e-7,2.2979551844941497,-24.113639286405704,-20.757053927136425,8.989559144623646,consumer
93,csmi_2015,1-blol-2-4,NA,2015,summer,north,nw,arcadia,46,NA,fishes,Coregonus hoyi,bloater,bloater lg,167,48.774620149068156,12.030258883671515,-25.695293063011896,-25.162637486918243,3.81241610738255,consumer
94,csmi_2015,1-blol-2-5,NA,2015,summer,north,nw,arcadia,46,NA,fishes,Coregonus hoyi,bloater,bloater sm,97.27099520398582,9.180547461490185,11.821168235994215,-25.791101260957362,-25.155492404868802,3.8793456032719837,consumer
95,csmi_2015,1-blol-2-6,NA,2015,summer,north,nw,arcadia,46,NA,fishes,Coregonus hoyi,bloater,bloater sm,89.81478238728423,7.17537775553392,12.015180231194787,-25.85291300156734,-25.141022076220896,3.930471887550201,consumer
96,csmi_2015,cmu-1-dws-2-4,NA,2015,summer,north,nw,arcadia,46,NA,fishes,Myoxocephalus thompsonii,deepwater sculpin,deepwater sculpin,31.837402935730594,0.3664532149098051,11.791714285714288,-24.113857142857146,-23.42709517890438,3.9134815844336344,consumer
97,csmi_2015,cmu-1-ltr-2-4,NA,2015,summer,north,nw,arcadia,46,NA,fishes,Salvelinus namaycush,lake trout,lake trout,37,0.46317309862771067,12.030750000000001,-25.878875,-23.87268711325708,5.062516951451044,consumer
98,csmi_2015,5440,NA,2015,summer,north,nw,arcadia,46,NA,dreissenids,Dreissena,dreissena,dreissena,NA,0.035,6.763888628409398,-25.970035397381185,-24.252024229267604,4.106019296263764,consumer
99,csmi_2015,5440,NA,2015,summer,north,nw,arcadia,46,NA,dreissenids,Dreissena,dreissena,dreissena,NA,0.035,5.825358035274883,-26.26709497129614,-24.539280837243364,3.5811216459884987,consumer
100,csmi_2015,1-mys-2-4,NA,2015,summer,north,nw,arcadia,46,NA,zooplankton,Mysis diluviana,mysis,mysis,NA,0.005,8.471543552453575,-26.29848072907842,-23.80854041063315,6.944773103712317,consumer
101,csmi_2015,5434,NA,2015,summer,north,nw,arcadia,46,NA,pom,POM,pom,pom,NA,NA,1.4678578051201843,-27.29586732346404,-27.29586732346404,9.734641604010578,b1
102,csmi_2015,5438,NA,2015,summer,north,nw,arcadia,46,NA,pom,POM,pom,pom,NA,NA,0.2626368252146093,-27.659849611370905,-27.659849611370905,12.709002176008632,b1
103,csmi_2015,cmu-1-smsl-2-4,NA,2015,summer,north,nw,arcadia,46,NA,fishes,Cottus cognatus,slimy sculpin,slimy sculpin lg,71,4.298957291292644,11.588799999999999,-22.8368,-21.997306644518275,4.019074868860276,consumer
104,csmi_2015,1-smsl-2-5,NA,2015,summer,north,nw,arcadia,46,NA,fishes,Cottus cognatus,slimy sculpin,slimy sculpin lg,91,9.209945800410836,10.750139892864032,-22.25001699456567,-20.489512792884998,4.80008865248227,consumer
105,csmi_2015,1-smsl-2-6,NA,2015,summer,north,nw,arcadia,46,NA,fishes,Cottus cognatus,slimy sculpin,slimy sculpin lg,99,11.92889037291562,11.928346139735686,-23.40876466279726,-22.668335157661872,3.9499473129610116,consumer
106,csmi_2015,153-5435,NA,2015,summer,north,nw,arcadia,46,NA,zooplankton,Zooplankton153,zooplankton153,zooplankton153,NA,1e-6,5.103334345832737,-30.058725205005288,-26.771121439171853,8.783705045136815,consumer
107,csmi_2015,153-5438,NA,2015,summer,north,nw,arcadia,46,NA,zooplankton,Zooplankton153,zooplankton153,zooplankton153,NA,1e-6,6.633069660373636,-31.975468689379735,-28.044691600510163,11.168218860155767,consumer
108,csmi_2015,cmu-1-blol-2-10,NA,2015,summer,north,nw,arcadia,110,NA,fishes,Coregonus hoyi,bloater,bloater lg,137.6134509498787,26.820207730164817,11.707857142857144,-26.98914285714286,-24.67207605129735,5.438767234387672,consumer
109,csmi_2015,1-blol-2-11,NA,2015,summer,north,nw,arcadia,110,NA,fishes,Coregonus hoyi,bloater,bloater lg,214.0086068324292,104.96210480904773,11.587951744354145,-26.5956840845639,-24.788067245462937,4.848282678527304,consumer
110,csmi_2015,1-blol-2-12,NA,2015,summer,north,nw,arcadia,110,NA,fishes,Coregonus hoyi,bloater,bloater lg,214.78671073125193,106.14581801943015,12.52684917190511,-24.74854323600241,-24.079830895007095,3.901368159203981,consumer
111,csmi_2015,cmu-1-dws-2-10,NA,2015,summer,north,nw,arcadia,110,NA,fishes,Myoxocephalus thompsonii,deepwater sculpin,deepwater sculpin,73.60664873159814,4.8021456500598525,11.918625,-25.138500000000004,-23.95558074534162,4.278663629460896,consumer
112,csmi_2015,5448,NA,2015,summer,north,nw,arcadia,110,NA,dreissenids,Dreissena,dreissena,dreissena,NA,0.035,6.60986766883093,-26.799645498393318,-25.054257196946338,4.336942737448906,consumer
113,csmi_2015,5446,NA,2015,summer,north,nw,arcadia,110,NA,dreissenids,Dreissena,dreissena,dreissena,NA,0.035,6.187498461483526,-26.04908574619993,-24.32846591657533,3.886970497617583,consumer
114,csmi_2015,5448,NA,2015,summer,north,nw,arcadia,110,NA,dreissenids,Dreissena,dreissena,dreissena,NA,0.035,9.119139557145154,-25.619180295994877,-23.912747346227043,4.116092910883513,consumer
115,csmi_2015,5448,NA,2015,summer,north,nw,arcadia,110,NA,dreissenids,Dreissena,dreissena,dreissena,NA,0.035,6.106483983082605,-26.959243449637537,-25.208588415799497,4.230823788525733,consumer
116,csmi_2015,1-mys-2-10,NA,2015,summer,north,nw,arcadia,110,NA,zooplankton,Mysis diluviana,mysis,mysis,NA,0.005,9.757950236901642,-25.261343119903554,-24.690515864890216,4.618467827341031,consumer
117,csmi_2015,1-mys-2-11,NA,2015,summer,north,nw,arcadia,110,NA,zooplankton,Mysis diluviana,mysis,mysis,NA,0.005,9.387948556225089,-25.760567735357945,-25.623494844677165,4.293414400437857,consumer
118,csmi_2015,5442,NA,2015,summer,north,nw,arcadia,110,NA,pom,POM,pom,pom,NA,NA,0.7708355775509862,-27.471554494024097,-27.471554494024097,12.114399462784645,b1
119,csmi_2015,5446,NA,2015,summer,north,nw,arcadia,110,NA,pom,POM,pom,pom,NA,NA,3.807777252059339,-28.98335836446725,-28.98335836446725,9.680729752993082,b1
120,csmi_2015,5448,NA,2015,summer,north,nw,arcadia,110,NA,pom,POM,pom,pom,NA,NA,3.7777713349901885,-26.341520578861076,-26.341520578861076,10.576432052395527,b1
121,csmi_2015,cmu-1-smsl-2-10,NA,2015,summer,north,nw,arcadia,110,NA,fishes,Cottus cognatus,slimy sculpin,slimy sculpin lg,101.7042845904905,12.957806644554315,12.346857142857143,-24.772571428571432,-23.484331296992483,4.365128205128205,consumer
122,csmi_2015,1-smsl-2-11,NA,2015,summer,north,nw,arcadia,110,NA,fishes,Cottus cognatus,slimy sculpin,slimy sculpin lg,98.30155014721322,11.672404379598206,12.202557823790212,-23.905663530252895,-22.703518163136195,4.294191059677786,consumer
123,csmi_2015,1-smsl-2-12,NA,2015,summer,north,nw,arcadia,110,NA,fishes,Cottus cognatus,slimy sculpin,slimy sculpin lg,90.04825307483098,8.917418449472342,12.131242697167973,-23.24688833071893,-22.511386209078196,3.9465709728867626,consumer
124,csmi_2015,153-5442,NA,2015,summer,north,nw,arcadia,110,NA,zooplankton,Zooplankton153,zooplankton153,zooplankton153,NA,1e-6,6.26930110092012,-29.385372245482596,-26.82360266368951,7.078215369263368,consumer
125,csmi_2015,63-5442,NA,2015,summer,north,nw,arcadia,110,NA,zooplankton,Zooplankton63,zooplankton63,zooplankton63,NA,1e-7,4.135925369976727,-25.22918833760191,-23.085427066265378,6.366333054335601,consumer
126,csmi_2015,1-alg-3-1,NA,2015,fall,north,nw,arcadia,2,ns,benthic algae,benthic algae,benthic algae,benthic algae,NA,NA,4.296839969887841,-22.07753176477553,-22.07753176477553,8.988810740131695,b2
